date,min,max,median,q1,q3,stdev,count
2022-10-26T00:00:00.000Z,0.4,36.47,1.73,0.63,4,3.57,501
2022-10-27T00:00:00.000Z,3.53,21,5.13,4.59,5.7,3.668,501
2022-10-28T00:00:00.000Z,0.7,93.75,4.34,1.98,6.47,6.353,456
2022-10-29T00:00:00.000Z,0.9,16.67,2.49,1.73,3.8,2.559,494
2022-10-30T00:00:00.000Z,0.9,12.87,3.23,2.4,4,1.36,479
2022-10-31T00:00:00.000Z,2.6,48.72,4.73,3.42,7.07,3.772,465
2022-11-01T00:00:00.000Z,1.7,11.1,3.2,2.7,4.07,1.365,438
2022-11-02T00:00:00.000Z,1.8,22.57,5.49,3.93,6.4,2.086,440
2022-11-03T00:00:00.000Z,1.57,12.47,3.6,2.83,6.43,2.791,441
2022-11-04T00:00:00.000Z,1.83,16.2,3.87,2.77,9.13,3.16,453
2022-11-05T00:00:00.000Z,1.12,6.9,2.33,1.8,3.6,1.175,506
2022-11-06T00:00:00.000Z,1.2,17.8,2.67,1.97,3.4,1.273,503
2022-11-07T00:00:00.000Z,0.67,16.82,5.27,1.1,6.7,3.559,528
2022-11-08T00:00:00.000Z,0.6,15.33,1.7,0.9,5.59,3.273,525
2022-11-09T00:00:00.000Z,2.54,15.57,4.65,3.6,9.61,3.639,525
2022-11-10T00:00:00.000Z,1.17,5.63,3.1,2.8,3.4,0.554,532
2022-11-11T00:00:00.000Z,1.3,21.7,4.65,3.97,5.13,1.291,510
2022-11-12T00:00:00.000Z,0.68,52.9,2.54,1.43,4.53,3.099,524
2022-11-13T00:00:00.000Z,1,35.17,2.52,1.8,3.79,3.482,536
2022-11-14T00:00:00.000Z,0.47,10.9,2.29,0.9,3.4,1.7,519
2022-11-15T00:00:00.000Z,0.5,6.2,1.1,0.93,1.39,0.555,529
2022-11-16T00:00:00.000Z,0.63,18.39,1.2,1,1.7,1.664,509
2022-11-17T00:00:00.000Z,0.63,8.5,1.2,1,1.5,0.76,436
2022-11-18T00:00:00.000Z,1.1,54.03,2.2,1.7,4.2,4.858,419
2022-11-19T00:00:00.000Z,0.9,23.83,1.43,1.23,1.7,2.136,481
2022-11-20T00:00:00.000Z,0.6,27.27,1.77,1.25,2.02,1.905,520
2022-11-21T00:00:00.000Z,1.37,27.53,4.47,3.77,7.1,2.579,495
2022-11-22T00:00:00.000Z,1.3,47.33,3.8,2.47,10.09,4.956,504
